12:33:51.795 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
12:33:51.868 [main] INFO  [] com.gymapp.GymAppApplication - Starting GymAppApplication using Java 21.0.7 with PID 3452 (C:\Users\ASUS\Desktop\EPAM-COURSE\Spring-boot\spring-rest\target\classes started by ASUS in C:\Users\ASUS\Desktop\EPAM-COURSE\Spring-boot\spring-rest)
12:33:51.868 [main] INFO  [] com.gymapp.GymAppApplication - No active profile set, falling back to 1 default profile: "default"
12:33:55.276 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
12:33:55.391 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86 ms. Found 4 JPA repository interfaces.
12:33:56.130 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
12:33:56.146 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12:33:56.146 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
12:33:56.146 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
12:33:56.226 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:33:56.226 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4307 ms
12:33:56.891 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
12:33:56.939 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
12:33:57.241 [main] INFO  [] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
12:33:57.273 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
12:33:57.495 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@417446d9
